"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"370","Lotte",21,"1948 2008 ","Lars-Ole",7,"1978 2004"
"371","Louisa",10,"1926 2010 ","Lars-Peter",22,"1941 2010"
"372","Louise",206,"1917 2010 ","Larserak",6,"1941 1996"
"373","Lucia",18,"1931 2010 ","Larseraq",15,"1938 1997"
"374","Lucie",13,"1927 2009 ","Lasarus",6,"1928 2009"
"375","Ludvikka",5,"1926 1999 ","Lasse",28,"1944 2009"
"376","Lulu",13,"1967 2009 ","Laurits",11,"1944 2003"
"377","Luna",10,"1945 2010 ","Lauritz",20,"1924 2010"
"378","Lydia",28,"1932 2009 ","Lean",5,"2000 2008"
"379","Lydie",31,"1924 2006 ","Leif",40,"1940 2010"
"380","Lykke",12,"1948 2010 ","Leo",30,"1946 2010"
"381","Maalia",11,"1960 2009 ","Leon",5,"1946 2010"
"382","Maaliannguaq",7,"1941 2009 ","Levi",13,"1931 2008"
"383","Maannguaq",16,"1985 2008 ","Liam",9,"1999 2010"
"384","Magda",5,"1931 1999 ","Looqi",7,"1963 2006"
"385","Magdalene",69,"1925 2010 ","Louis",71,"1932 2010"
"386","Magdaline",86,"1923 2010 ","Lucas",18,"1956 2010"
"388","Maja",73,"1963 2010 ","Ludvig",142,"1918 2010"
"389","Majbritt",9,"1961 2002 ","Lukas",29,"1930 2010"
"390","Makka",8,"1951 2008 ","Maasi",10,"1984 2008"
"391","Makkak",9,"1955 2008 ","Maasinnguaq",6,"1971 2009"
"392","Makkannguaq",7,"1980 2000 ","Maassannguaq",19,"1985 2009"
"393","Malena",7,"1947 2009 ","Mads",104,"1936 2010"
"394","Malene",71,"1924 2010 ","Magnus",40,"1931 2010"
"395","Malia",7,"1941 2010 ","Magssanguaq",10,"1925 1994"
"396","Maliina",20,"1982 2010 ","Mala",9,"1957 2010"
"397","Malina",18,"1949 2005 ","Malakias",15,"1934 2009"
"398","Maline",25,"1926 2010 ","Maligiaq",28,"1982 2010"
"399","Malo",6,"1955 2003 ","Malik",303,"1966 2010"
"400","Malou",18,"1985 2010 ","Malinnguaq",9,"1984 2009"
